,Interface,AE Interface,,ip,vlan
A303-03-8,Ge-0/0/6,ae6,A303-03-10,193.30.100.254/24,100
,Ge-1/0/6,,,,
,Ge-0/0/7,ae7,A303-03-9,172.30.202.1/30,220
,Ge-1/0/7,,,,
,Ge-0/0/8,ae8,IFS1,,100
,Ge-1/0/8,,,,
,Ge-0/0/9,ae9,IFS2,,100
,Ge-1/0/9,,,,
,Ge-0/0/0,,Serial port 1,,100
,Ge-0/0/1,,Serial port 2,,100
,Ge-0/0/2,,Serial port 3,,100
,Ge-0/0/3,,Serial port 4,,100
,Ge-0/0/4,,Serial port 5,,100
,Ge-0/0/5,,Serial port 6,,100
,Ge-1/0/0,,Serial port 7,,100
,Ge-1/0/1,,Serial port 8,,100
,Ge-1/0/2,,Serial port 9,,100
,Ge-1/0/3,,Serial port 10,,100
,Ge-1/0/4,,Serial port 11,,100
,Ge-1/0/5,,Serial port 12,,100
,Ge-2/0/0,,ES1,172.30.220.1/30,101
,Ge-2/0/1,,ES2,172.30.221.1/30,102
,Ge-2/0/2,,ES3,172.30.222.1/30,103
,Ge-2/0/3,,ES4,172.30.223.1/30,104
,Ge-2/0/4,,ES5,172.30.224.1/30,105
,Ge-2/0/5,,ES6,172.30.225.1/30,106
,Ge-2/0/6,,ES7,172.30.226.1/30,107
,Ge-2/0/7,,ES8,172.30.227.1/30,108
,Ge-2/0/8,,ES9,172.30.228.1/30,109
,Ge-2/0/9,,ES10,172.30.229.1/30,110
,Ge-2/0/10,,ES11,172.30.230.1/30,111
,Ge-2/0/11,,ES12,172.30.231.1/30,112
,Ge-2/0/12,,ES13,172.30.232.1/30,113
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
